# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
8841094148,5.063,134.017,999.424,4847.500,-3998.750,-2467.500,23.773,83,2197,16384,554,-457,-282,-314,0,0
8841103561,5.490,133.712,995.703,4672.500,-4007.500,-2467.500,23.773,90,2192,16323,534,-458,-282,-314,0,0
8841112968,5.917,131.577,994.666,4620.000,-4060.000,-2458.750,23.773,97,2157,16306,528,-464,-281,-314,0,0
8841122381,5.307,135.176,997.289,4847.500,-3998.750,-2458.750,23.773,87,2216,16349,554,-457,-281,-314,0,0
8841131789,5.246,135.176,998.143,4777.500,-3998.750,-2450.000,23.734,86,2216,16363,546,-457,-280,-324,0,0
8841141197,6.100,134.444,998.387,4698.750,-4007.500,-2450.000,23.734,100,2204,16367,537,-458,-280,-324,0,0
8841150605,6.832,136.091,995.581,4795.000,-4025.000,-2450.000,23.773,112,2231,16321,548,-460,-280,-314,0,0
8841160017,7.137,134.566,995.764,4742.500,-4068.750,-2415.000,23.773,117,2206,16324,542,-465,-276,-314,0,0
8841169425,6.039,133.224,997.655,4637.500,-4007.500,-2485.000,23.785,99,2184,16355,530,-458,-284,-311,0,0
8841178838,6.893,134.566,996.801,4707.500,-4025.000,-2493.750,23.785,113,2206,16341,538,-460,-285,-311,0,0
8841188244,6.161,133.346,997.472,4716.250,-4007.500,-2458.750,23.793,101,2186,16352,539,-458,-281,-309,0,0
8841197652,6.039,134.200,997.350,4725.000,-3981.250,-2458.750,23.793,99,2200,16350,540,-455,-281,-309,0,0
8841207066,5.551,133.651,996.130,4663.750,-3990.000,-2476.250,23.777,91,2191,16330,533,-456,-283,-313,0,0
8841216471,6.283,132.736,996.191,4646.250,-4025.000,-2432.500,23.777,103,2176,16331,531,-460,-278,-313,0,0
8841225884,6.100,134.200,996.557,4812.500,-3972.500,-2476.250,23.801,100,2200,16337,550,-454,-283,-307,0,0
8841235292,5.734,135.420,996.801,4786.250,-4033.750,-2458.750,23.801,94,2220,16341,547,-461,-281,-307,0,0
8841244698,5.185,134.078,997.655,4690.000,-4042.500,-2467.500,23.797,85,2198,16355,536,-462,-282,-308,0,0
8841254112,6.161,133.956,996.801,4716.250,-4077.500,-2450.000,23.797,101,2196,16341,539,-466,-280,-308,0,0
8841263519,6.466,134.139,997.472,4777.500,-4051.250,-2467.500,23.789,106,2199,16352,546,-463,-282,-310,0,0
8841272926,6.832,134.383,996.313,4733.750,-4033.750,-2476.250,23.789,112,2203,16333,541,-461,-283,-310,0,0
8841282334,5.673,134.688,996.496,4795.000,-3998.750,-2493.750,23.773,93,2208,16336,548,-457,-285,-314,0,0
8841291748,5.978,134.139,998.021,4733.750,-3981.250,-2441.250,23.773,98,2199,16361,541,-455,-279,-314,0,0
8841301155,6.222,133.590,996.557,4768.750,-3998.750,-2476.250,23.773,102,2190,16337,545,-457,-283,-314,0,0
8841310562,6.405,133.346,996.313,4742.500,-4051.250,-2467.500,23.773,105,2186,16333,542,-463,-282,-314,0,0
8841319975,5.368,133.529,997.411,4707.500,-4016.250,-2493.750,23.805,88,2189,16351,538,-459,-285,-306,0,0
8841329383,5.490,133.895,995.764,4707.500,-3998.750,-2458.750,23.805,90,2195,16324,538,-457,-281,-306,0,0
8841338790,5.551,134.139,997.167,4751.250,-4033.750,-2450.000,23.809,91,2199,16347,543,-461,-280,-305,0,0
8841348205,6.283,134.444,997.228,4760.000,-4033.750,-2450.000,23.809,103,2204,16348,544,-461,-280,-305,0,0
8841357612,5.917,134.139,995.642,4698.750,-4051.250,-2458.750,23.766,97,2199,16322,537,-463,-281,-316,0,0
8841367025,6.710,133.773,997.594,4716.250,-4016.250,-2467.500,23.766,110,2193,16354,539,-459,-282,-316,0,0
8841376433,6.222,133.529,997.167,4690.000,-3998.750,-2467.500,23.789,102,2189,16347,536,-457,-282,-310,0,0
8841385840,5.856,133.895,995.764,4602.500,-4016.250,-2441.250,23.789,96,2195,16324,526,-459,-279,-310,0,0
8841395248,6.649,133.834,996.435,4663.750,-4016.250,-2467.500,23.766,109,2194,16335,533,-459,-282,-316,0,0
8841404662,6.527,134.200,995.825,4725.000,-3998.750,-2467.500,23.766,107,2200,16325,540,-457,-282,-316,0,0
8841414068,5.978,133.041,996.374,4690.000,-4042.500,-2450.000,23.777,98,2181,16334,536,-462,-280,-313,0,0
8841423476,6.405,133.102,996.862,4742.500,-3981.250,-2432.500,23.777,105,2182,16342,542,-455,-278,-313,0,0
8841432883,5.978,133.590,995.459,4821.250,-3998.750,-2485.000,23.809,98,2190,16319,551,-457,-284,-305,0,0
